CUSIP,Offer date,Company name,Ticker,Founding,PERM,VC dummy,Rollup,Dual,Post-issue shares,Internet
78088610,19750130,ROYSTER,,1901,67898,0,.,0,.,0
92212610,19750609,VARCO,VRC,1908,63044,0,.,0,.,0
21701610,19750610,COORS ADOLPH,TAP,1901,59248,0,.,1,35418915,0
49348410,19750715,KEYSTONE FOODS CORP,,1965,61989,0,.,0,.,0
10564710,19750826,C. F. BRAUN,,1909,58579,0,.,0,.,0
11439410,19750910,BROOKS FASHION STORES,,1923,65517,0,.,1,2500000,0
17056510,19750924,"CHRISTENSEN, INC.",,1944,23342,0,.,0,.,0
49237610,19751021,KERR GLASS MANUFACTURI,KGM,1903,58616,0,.,0,.,0
53631510,19751028,LIQUID AIR,LANA,1965,49825,0,.,0,.,0
67523210,19751030,OCEANEERING INTERNATL,OII,1965,58975,.,.,.,-9,0
19567410,19751107,COLONIAL GAS ENERGY,,1929,24679,0,.,0,.,0
22989510,19751216,CULLEN BANKERS,,1965,27880,0,.,0,.,0
78387310,19760108,SBE INC.,SBEI,1961,68145,1,.,0,.,0
05774110,19760115,BALDOR,BEZ,1920,58755,0,.,1,1952381,0
25312010,19760115,DICKEY-JOHN,DKJC,1966,29912,0,.,0,.,0
70319110,19760121,PATHCOM,PATH,1970,61453,0,.,0,.,0
16381810,19760128,CHEMINEER,CHNR,1952,23070,0,.,0,.,0
56501010,19760211,MANUFACTURING DATA,,1969,51370,1,.,0,.,0
22522410,19760317,CRAY RESEARCH,CYR,1972,62164,1,.,0,.,0
12126610,19760329,BURING FOOD GROUP,,1945,58974,0,.,1,1034483,0
57834810,19760511,MAYFLOWER,MFL,1955,63669,0,.,0,.,0
29362710,19760512,ENTENMANNS,,1958,33057,0,.,0,.,0
36476010,19760519,GAP STORES,GPS,1969,59010,0,.,0,.,0
63227910,19760519,NATCO,NATO,1911,56056,0,.,0,.,0
86034210,19760603,STEWART & STEVENSON SE,SSSS,1902,72961,0,.,0,.,0
35089720,19760608,FOUR PHASE,FPS,1969,60433,1,.,0,.,0
81948610,19760629,SHARED MEDICAL SYSTEMS,SMED,1969,70229,0,.,0,.,0
25614510,19760708,DOCUMATION,,1970,59723,1,.,0,.,0
23801010,19760713,DATA TERMINAL,DTS,1970,59862,1,.,0,.,0
92209810,19760722,VAPOR,,1904,80275,1,.,0,.,0
26747010,19760810,DYCO PETROLEUM,DYC,1971,62543,0,.,0,.,0
02390510,19760812,AMDAHL,AMH,1970,60046,1,.,0,.,0
98975520,19760902,ZONDERVAN,ZOND,1954,84145,0,.,0,.,0
77578410,19760915,ROLM,RM,1969,60572,1,.,0,.,0
49427410,19760928,KIMBALL,KBALB,1901,47715,0,.,0,.,0
